AGE,CUSTOMISATION OPEN ENDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ages,"Burger & Chips (e.g. Beef, Chicken, Veggie):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Meat & Chips (e.g. Steak, Chicken):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Meat & vegetables (e.g. Roast, Grilled, Breaded):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Fish & chips:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Sausage & mash:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Cottage/Shepherd's/Fish Pie:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Pastry Pie (e.g. Chicken, Steak, Beef, Veggie):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Jacket potato:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Casserole / Stew:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Soup:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Sandwich / Toastie:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Pizza:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Lasagne:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Baked Pasta (e.g. Chicken, Tuna, Tomato):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Filled Pasta (e.g. Raviolli, Tortellini):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Risotto:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Gnocchi:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Curry & Rice (e.g. Tikka, korma, butter chicken):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Stir fry / Noodles:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Rice bowl / fried rice:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Katsu Curry:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Chicken (e.g. Sweet & Sour, Sweet Chilli):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Thai Curry (e.g. Red, Green, Massaman):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Thai Noodles (e.g. Pad Thai):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Ramen:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Fajitas / Burritos:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Chilli & Rice (e.g. Con Carne, 3-Bean):For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Tacos / Enchiladas / Quesadillas:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Piri-piri / Peri Peri:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Jerk Chicken:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Cajun Chicken:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Paella:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Stroganoff:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Tagine:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)","Cous Cous:For each dish, please describe what is important in making sure it will be eaten by the children (e.g. what is different to how you would prepare it for just adults?)"
"9,13",,Only chicken,Lots of veg,Side dish ,No onions ,No onions,,,,,Just cheese,,Not spicy ,Favourite sauce ,,Favourite sauce ,,,Not spicy ,Not spicy ,,,Plain,,,,,No onions ,Not spicy ,,,,,,,
"6,7,9,12",,,1,1,1,,,,,,,1,1,,,,,,2,,,1,1,,,,2,,,,,,1,2,1,
"8,15",,,Grilled ,,,Extra cheese,Chicken ,,,,,With pineapple ,,Cheese,Tuna,,,,,,,,,,,,,,,,,,,,,
"9,11",Not sure,Not sure,Not sure,Not sure ,Not sure,,Not sure,Not sure,,,,Not sure ,Not sure,Not sure ,Not sure,Not sure ,,,Not sure ,Not sure ,,,Not sure,,,,Not sure, Not sure ,Not sure,,,Not sure,,,,
"5,8",,Not too salty,N/a,,N/a,N/a,Not too big if individual pies,Crisp skin,,No mushrooms,N/a,Not spicy,N/a,N/a,N/a,N/a,No mushrooms,,Not spicy ,Not spicy,,,Not spicy,Not spicy,,,Not spicy ,No spicy,Not spicy,Not spicy ,,,,,No raisins,
10,"It has to be beef, unseasoned and very plain for child.",Plain chicken and plain steak for child whereas we would season the chicken.,"Specific vegetables that child will eat, carrots and cucumber. ","Child will only eat fish fingers, adults will eat cod. Child fussy on thickness of chips","Plain sausages for Child, adults would eat flavoured. Child not keen on mash so would likely substitute for pasta or fries.",,, Would have to take the skin off for Child and mix the potato in with a topping,,"Tomato soup, has to be heinz",Child likes just buttered bread with ham on the side. ,Plain cheese pizza only,"Child prefers shop bought, if making lasagne vegetables have to be cut very fine",Plain pasta with butter and parmesan cheese. Does not eat sauce,,,,,"Very mild, no spice",Does not like vegetables so will only eat noodles and chicken ,,,,,,,"No spice, very mild ","No spice, very mild ",,,,,,,,
"5,7,15",I finely dice the garlic and onions to go into them so the children can't notice them,,No difference ,,No difference ,,,No difference ,,"Blended soup, they don't like chunky",,They choose the flavours they like ,No difference ,I put less salt in,I put less salt on,,,,,Less spice,No spice,,,I make it less spicy at first dish the childrens up and then carry on,,,Less spice ,Less spice ,No onions for the children ,,,No onions or spice again,,,,
"8,13",Grate the onion and oven bake the chips,Medium to well done,Veggies they'll like,,Buttery mash,Grated onion and carrot (so they can't see it),Lots of filling,,,,,Order what they like,,Lots of cheese,,,,,Not too spicy,,,,Not too saucy,,,,Lots of choices of fillings,Not too spicy / hidden veg,Lots of toppings,Not too spicy,Slow cook so tender,Chicken breast is best for Cajun,,,,
"11,13",Less spice and no advocado ,Same as if I was prepping for adults ,Same as if I was prepping for adults ,Same as if I was prepping for adults ,,,Same as if I was prepping for adults ,No cheese over beans ,,Less spice ,Same as if I was prepping for adults ,Less veggies on top ,Same as if I was prepping for adults ,Same as if I was prepping for adults ,Same as if I was prepping for adults ,Same as if I was prepping for adults ,,,Same as if I was prepping for adults ,Less seasame oil ,Same as if I was prepping for adults ,,Same as if I was prepping for adults ,,Less peanut dressing ,,Same as if I was prepping for adults ,Same as if I was prepping for adults ,Less chilli,,,Same as if I was prepping for adults ,,,,
5,I use only chicken ,,I don't add any spices ,,,,,,,,Simple ,No change ,,Less spicy ,,,,,Less spicy ,Less spicy ,Less spicy ,,,,,,,,,,,,,,,
"7,8","More chips, less spice ","More chips, less spice ","More veggies, soft and tender meat ",Regular ,,,,Regular ,,,Regular ,Extra pepperoni ,,Regular ,,,,,,Fruits on the side ,Extra veggies ,Less spice ,,,,,,Less chilli ,,Regular ,Less spice ,Regular ,,,,
"5,7",Level of fats,,Cooked time,,prepared,cooked time,Cooking time,,,Taste,,Taste,cooked time,,,cooked time,cooked time,,cooked time,,recipe,cooking time,,recipe,ingretients,,,,,,ingredients,cooked time,,preparation time,recipe,
"10,12",The taste of  the patty ,The taste of the Méat,Grilled vegetables ,The chipsn,,,,,,,,Size ,Length ,,,consistency ,Taste ,,Curry ,Cooking time ,,,,,,Type of ramen ,,Hear ,,,Taste ,Size ,Place of origin ,,,
"7,9",,The children would not have the sauce ,The children would not have the sauce ,,No change,No change,,No change,,No change,,My children only like cheese pizza,No change,No change,No change,,No change,,No change,,,,,,One of my children doesn't like broccoli ,,No change,Slightly less chilli,No change,,,,,No change,,
"5,13",,FRESH,,TASTE,TASTE,,,FRESH,,INGREDIENT,,,ingredient,fresh,,,fresh,ingredent,ingrendent,,,,,,,,,,,,,,,,,
"5,13",,,,,Ingredients,,,Ingredient combination and taste,,,Taste an ingredient,,,,,,, combination,,,,,,,,,,,,,,,,,,
15,,meat not chewy,meat not chewy,chips thin,sausage soft,,,potato soft,,,,na,,sauce thick,taste nice,,,,na,na,,,chicken seasoned,,,,taste nice,,,not too spicy,,na,,,,
"6,9",Crispiness,With sauce bbq flavour,,,,,,,,Mix vegetables but hidden,,,,,Just outside with sauce,,,,,,Making with cajun spices,With fenugreek my children loves,Tender and soft,Red thai with veggies,Flavourful,,,,Crispy,,Sofgy,Crispy in filleg gorm,,,,
5,,,Grilled ,Dip fryed chips and fish,,,,,,,,Any type ,,,,Tortellini,,,,Any type,Plain basmati rice,,Sweet chili,,,,,,,Piti-piri seasoned ,Jerk seasoned chicken ,,,,,
"15,16 or older",No sauces,,,No sauces ,No sauces ,,No onions,No sauces,,No onions,No sauces ,No onions,,,,,,,,,,,,,,,,,,,,,,,,
"7,10",No different ,,No different ,No different ,No different ,,,No different ,,,,,,No different ,No different ,,No different ,,,No different ,No different ,,,No different ,No different ,,,,,,,,,,,
"4 or younger,5","Smaller portions, half a burger each ",Not too much filling ,The same ,The same ,The same,Lots of hidden vegetables ,The same ,The same ,,,,The same ,Lots of hidden veggies ,Hidden veggies ,The same ,The same ,,,I'd make a curry a mixture of chicken and vegetables ,The same ,,,The same ,,,,The same ,I'd add extra beans in for additional iron,The same ,The same,The same ,The same ,The same ,,,
"4 or younger,6",With chicken I use tenders for the children and adults will have leg or thigh. ,For the children I would use thick steak cut chips with salt only and adults salt vinegar and sauces. Steak I wouldn't give to the kids as they don't like so they'll have chicken ,Same as adults but with less spices and more vegetables for them ,The same as us adults ,,"More cheese for the adults on our shepherds pie and more spices, less spice on kids with more hidden veg",The same as adults but with less salt ,"For adults I would use more beans cheese and sauces, for the kids it'll just be cheese and butter ",,The same as us adults ,The same ,For adults I would use more chicken and spices on our pizza ,"There would be more layers in our adult one and more cheese sauce, and more spices in the mince as opposed to the kids one ",,The same as us adults ,,The same,"I wouldn't use this pasta for kids, risotto is more their taste ",If making butter ch sicken I would use less spices ,Same as adults ,For adults we would use more spices ,"Use chicken tenders for the kids and not deep fry the chicken, they like it in the air fryer ",More of a sweet taste using sauces than chilli then they'll eat this ,Not so many spices as it can be quite strong otherwise they eat the same as us ,,They will eat the same as us ,"Separating the bread and chicken and salad, they won't eat it all wrapped up like a fajita ",They pretty much eat this same as us ,Making the taco bread more softer and not so full of chicken and ingredients then they'll eat this ,For adults we make it a lot more spicier ,They eat the same as adults ,,,,"More potatoes and carrots, I slow cook this so the meat is nice and tender",The same as adults 
"8,10",No sauce or salad,,Has to to be breaded / no sauce,,No gravy,,Specific filling per child,Cheese mixed in with the potato,,Plain tomato soups only,Plain cheese,Specific toppings only,,Mixed in with  pasta,,"Shop bought, plain fillings",,,,"Plain, soy sauce added",Plain,,,,,"Plain, no chilli",Plain cheese and chicken only,,,,,,,,,
"5,11,13",No extra sauces,They would have it cooked more,Not too spicy ,No different ,,,,No different ,,,No different ,No spicy toppings ,,No different ,No different ,,No different ,,More mild,,,,A neutral flavour,No different ,,,No jalapeños ,No different ,No different ,Not too spicy,,,,,,No different 
"4 or younger,5",,,I would tear the meat and cook the veg softer for the kids ,,I cut the kids sausages up ,,,Same as us ,,,,,,Same as us ,Same as us ,,,,,,,,,,,,,,,,,,,,,
"5,6",,Cut up small,,Scampi so easier to split,High % pork sausages,,,,,,,,,,,,,,Mild curry,"Soy sauce, not too spicy",,,,,,,,,Mild,,,,,,,
"15,16 or older",Flatten the burgers,N/a,N/a,,Freshly made mash,,Cheese and Onion ,,,N/a,,Let them decide the toppings ,N/a,Cheese sauce,,Cheese sauce,,,,N/a,,,Fried chicken,N/a,,N/a,Chicken ,,Chicken ,,,,,,,
"5,7",No cheese for added for 1 child,Less seasoning,Same,Same,Same,Same,Same,Different toppings,,Same,Different fillings,Plainer pizza for children ,Same,Same,Same,,,,Same,Same,,,Same,Same,Same,,No salsa for children,Same,No salsa for children,Less seasoning,,Less seasoning ,,Same,,
"7,11,13,16 or older",Cooked with flavour ,,Grilled meat and grilled vegetables ,Lots of vinegar and freshly made chips,Freshly made mash ,Shepards pie with chili flakes ,Fresh pastry pies with chilies ,With keema toppings. ,,,With grilled cheese,With tandoori chicken on top,With chili Naga inside ,Fresh pasta sauce ,Added chilies ,With spinach ,,,With chicken breast. ,With added chili ,With fried eggs on side. ,,,,With added seaweed for crunch. ,With chili broth ,Just simple basic vegetables ,,,With lots of marinated sauce,Lots of marinated sauces. ,,,,,
"4 or younger,5,10,12,14",No change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 or younger,6,8",,,Soft and spicy,Crunchy and well seasoned fish,,,,Soft,,Hot and spicy ,Filled with veggies,Hot,Cheesy and spicy ,Soft and cheesy,Spicy ,,,,,"Tasty,spicy and hot ",Veggies filled and spicy ,,,,,,,Flavour ,,,,,,,,Flavour 
12,,cutting the steak up,n.a,smaller portion,,,,n.a,,,,cutting it up,,n.a,,,,,less spice,less spice,,,n.a,,,n.a,less spice,less spice,less spice,n.a,,n.a,,,,no fruit in it
"5,10",Usually easy,Have to do chicken ,Have to do soft veg,,,,,,,,,They eat it,,,,,,,,,,,,,,,,,,,,,,,,
"4 or younger,8",,Meat they like,Good variety of vegetables,,That it's a tasty one,It's a tried recipe ,It's a tried recipe ,Good filling,,Not too lumpy!,The correct filling,Correct toppings,A tried recipe,They will always eat pasta,They will always eat pasta,Correct filling,,,Not too spicy,,Not too spicy ,,Not too spicy,,,,Not lots of vegetables,Not too spicy ,,,,,Not too spicy,,,
9,,the taste,nothing,nothing,nothing,nothing,,,,,,,nothing,,,,,,,,,,nothing,,,,nothing,,,nothing,,,,,,
5,Make sure to have them as sliders small enough for my child ,Thick chips as my kid doesn't like thin ones ,Wide range of veggies ,,Cut up sausage for my kid ,Lots of veggies inside ,Lots of veggies inside ,No skin as kids don't like it ,,Small chunks of meat ,Cut up into squares ,Small slices ,Veggies ,Not too much sauce ,No cheese on top ,,,Small enough size ,Not spicy ,Lots of veggies ,Lots of veggies ,,Nothing spicy,,,,Nothing spicy ,Nothing spicy ,,,,,Lots of veggies ,,,
"4 or younger,5",Frozen burger and chips ,Chicken without sauce or gravy added ,Again no sauce or gravy added,NA,NA,Ready meal so NA,,NA,,Plain flavours with no spice ,NA,NA,Ready meal so na,Only cheese topping ,Only with cheese,No sauce on top ,,,Not too much spice added ,Not toos,,,,,,,,,,,,,,,,
"7,9,13",,most order ,to make mild ,,,,check taste ,,,,,mostly order,make it properly,,mixed it properly,,,,with good curry taste,,bowled well,,use ready made sauces,,,,,,,mostly order,,,,,,
9,Healthy options offered ,Healthy options offered ,Healthy options offered ,Food quality fish ,Good quality sausages and home cooked mash ,Good quality ingredients and home cooked mash ,,Healthy fillings ,,,,Treat night- family pizza making event! ,Good quality ingredients and home cooked food. Children enjoy helping,"Easy to cook, variety of colours and shapes of pasta ","Easy to cook, variety of colours and shapes of past ",As above ,Good quality ingredients and home cooked food. Children enjoy helping,,Quick and easy dish to make fro scratch ,Good quality ingredients and home cooked food. Children enjoy helping,Healthy option ,,Healthy option ,Can' change heat level according to chidrens preference ,As above ,As above ,As above ,As above ,,As above ,,,Children enjoy helping to make ,,Easy to cook in slow cooker and healthy option,
"12,15,16 or older",Absolutely no difference at all,Absolutely no difference at all,Absolutely no difference at all,Absolutely no difference at all,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,,Absolutely no difference at all ,,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,,,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,,,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all ,,Absolutely no difference at all ,,Absolutely no difference at all ,Absolutely no difference at all ,Absolutely no difference at all 
"4 or younger,5","Little portion, hidden veggies,oven baked fries and no strong spices ","Tender meat, air fried chips and no strong spices ","Soft meat, chicken nuggets,  vegetables with mashed potatoes ",,Mild sausage and smooth mash,,"Finely chopped meat and veggies, mild flavor",,,Blended chunky soup and mild spice ,,Small portion and  mild toppings ,,,Creamy pasta and mild flavor ,,"Small portion, creamy and smooth ",Easy to chew and mild sauce ,Mild and creamy curries and soft chicken ,"Soft noodles, mild seasoning and a little veggies ","No large chunk, light soy and egg",,Mild sweetness ,,Less spicy and mild toppings ,,,,,,Mild spices and boneless chicken ,Less spice and tender pieces ,,,Mild sweetness and slow cooked meat ,
7,,Less spice ,Good veggie,,,,,,,,Chicken sandwich ,,Good taste,Tomato saice,Good taste,,,,Spices,Spices with tatse,Good rice like basmati ,Curry taste ,Taste using right masala,Tatse with low spice ,Good noodles,Soup tatse ,Good ingredient ,Low in sooce,,Good flavor masala,,,,,,
12,Well cooked,Well cooked,Hot,Well cooked ,,Well cooked ,,Well cooked ,,Hot,,Fresh,Hot,Hothot,Hot,,,,,Hot,Hot,,Well cooked ,,,,,,Warm,Fresh,,Fresh ,,,,
"5,7",Cooking from scratch,Calorie level,Cooking from scratch,,Cooking from scratch,,Recipe,Cooking time,,,cooking time,,,,,cooking time,,,cooking time,,,cooking time,,Recipe,,,,,,Recipe,,Recipe,Recipe,,,
6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 or younger,5,11,12",Easy,Something the enjoy,Different each time,Quick ,Simple,Simple ,Always the same pies,Variety of toppings,,,They decide themselves ,They make themsleves,,Quick easy simple,Quick easy simple,,,,Always the same curry (korma),Quick and tasty,,,Not to over powering delicate,,,,Always the same ,,Always the same,Not to spicy,,,,,,
