area,gate,slide_index,claim_id,claim_type,deck_metric,deck_value,deck_unit,deck_text,cursor_value,cursor_unit,cursor_source,status,recommendation,notes
A_MVP,A,9,s09_coverage_all3_pct,percent,coverage_percent_all3_thresholds,41.0,%,Deck: % of active zones meeting all 3 thresholds,,,N/A (no established Cursor export found for this exact percentage claim),UNVERIFIABLE,"Specify denominator (zone count type: total/supply/live) and recompute from established Cursor outputs, or remove/label as deck-calculated.","Deck uses MVP thresholds partners>=5, cuisines>=4, dishes>=10; Cursor MVP targets are partners>=5, cuisines>=5, dishes>=21 (so these %s likely need re-derivation). Zone status tiers in Cursor are in docs/data/zone_mvp_status.json (counts by status: {'MVP Ready': 70, 'Developing': 62, 'Progressing': 36, 'Near MVP': 31, 'Not Started': 872, 'Supply Only': 235})."
A_MVP,A,9,s09_proposal_zone_mvp,definition,zone_mvp_proposed_thresholds,,,Deck proposes zone MVP thresholds (partners/cuisines/dishes).,,,config/mvp_thresholds.json + docs/data/zone_mvp_status.json (established status tiers),UNVERIFIABLE,"Ensure the deck's definition of zone MVP matches config/mvp_thresholds.json, and reference docs/data/zone_mvp_status.json for established status labels.",
B_SCORING,B,12,s12_methodology_indexing,methodology,scoring_method_index_to_1_mean,,,Demand strength calculated by indexing metrics to avg=1 and taking mean; same for Cx preference (deck footnote).,percentile_based,,config/scoring_framework_v3.json:scoring_method.type,DRIFT,"If the deck should reflect Cursor scoring, replace the indexing/mean method description with percentile-based 1–5 scoring and list-specific weighted factors.",
B_SCORING,B,11,s11_definition_scoring_inputs,definition,scoring_inputs_list,,,"Deck lists demand indicators (avg sales per dish, % zones top3, open-text requests) and preference indicators (rating, meal satisfaction, repeat intent, family suitability).","{""family_performers"": [""adult_satisfaction"", ""fussy_eater_friendly"", ""kids_happy"", ""orders_per_zone"", ""portions_adequate""], ""couple_performers"": [""adult_appeal"", ""adult_satisfaction"", ""orders_per_zone"", ""rating""], ""recruitment_priorities"": [""framework_score"", ""fussy_eater_friendly"", ""gap_score"", ""latent_demand_mentions"", ""non_dinneroo_demand_proxy"", ""partner_capability""]}",,config/scoring_framework_v3.json:lists.*.factors,DRIFT,"If the deck should reflect Cursor scoring, replace the stated inputs with the segment-specific factor sets and cite where each factor is sourced (survey/orders/latent demand).","Deck describes a unified demand/preference indicator set; Cursor uses a three-list, segment-specific weighted framework."
B_SCORING,B,7,s07_dish_group_core_drivers_dishes,classification,dish_group_core_drivers.dishes,,,"Noodles, Indian curry",See config/mvp_thresholds.json:dish_types.*,,config/mvp_thresholds.json:dish_types,MATCH,No change needed.,
B_SCORING,B,7,s07_dish_group_demand_boosters_dishes,classification,dish_group_demand_boosters.dishes,,,"Katsu, Sushi, Pho, Biryani, Pizza, Pasta, Lasagne, Protein & Veg",See config/mvp_thresholds.json:dish_types.*,,config/mvp_thresholds.json:dish_types,DRIFT,Reconcile dish group assignments to match config/mvp_thresholds.json dish_types categories (Anna taxonomy).,Mismatches: Katsu (deck:demand_boosters vs canonical:core_drivers); Sushi (deck:demand_boosters vs canonical:core_drivers); Pho (deck:demand_boosters vs canonical:core_drivers); Biryani (deck:demand_boosters vs canonical:core_drivers); Pasta (deck:demand_boosters vs canonical:deprioritised); Lasagne (deck:demand_boosters vs canonical:deprioritised)
B_SCORING,B,7,s07_dish_group_preference_drivers_dishes,classification,dish_group_preference_drivers.dishes,,,"Shepherd's Pie, Grain Bowl, Fajitas, Quesadillas, Shawarma, Rice Bowl, Fried Rice, East Asian Curry",See config/mvp_thresholds.json:dish_types.*,,config/mvp_thresholds.json:dish_types,DRIFT,Reconcile dish group assignments to match config/mvp_thresholds.json dish_types categories (Anna taxonomy).,Mismatches: Quesadillas (deck:preference_drivers vs canonical:deprioritised); Rice Bowl (deck:preference_drivers vs canonical:core_drivers); Fried Rice (deck:preference_drivers vs canonical:core_drivers)
B_SCORING,B,10,s10_dish_group_core_drivers_dishes,classification,dish_group_core_drivers.dishes,,,"Noodles, Indian curry",See config/mvp_thresholds.json:dish_types.*,,config/mvp_thresholds.json:dish_types,MATCH,No change needed.,
B_SCORING,B,10,s10_dish_group_demand_boosters_dishes,classification,dish_group_demand_boosters.dishes,,,"Katsu, Sushi, Pho, Biryani, Pizza, Pasta, Lasagne, Protein & Veg",See config/mvp_thresholds.json:dish_types.*,,config/mvp_thresholds.json:dish_types,DRIFT,Reconcile dish group assignments to match config/mvp_thresholds.json dish_types categories (Anna taxonomy).,Mismatches: Katsu (deck:demand_boosters vs canonical:core_drivers); Sushi (deck:demand_boosters vs canonical:core_drivers); Pho (deck:demand_boosters vs canonical:core_drivers); Biryani (deck:demand_boosters vs canonical:core_drivers); Pasta (deck:demand_boosters vs canonical:deprioritised); Lasagne (deck:demand_boosters vs canonical:deprioritised)
B_SCORING,B,10,s10_dish_group_preference_drivers_dishes,classification,dish_group_preference_drivers.dishes,,,"Shepherd's Pie, Grain Bowl, Rice Bowl, Fried Rice, East Asian Curry, Fajitas, Quesadillas, Shawarma",See config/mvp_thresholds.json:dish_types.*,,config/mvp_thresholds.json:dish_types,DRIFT,Reconcile dish group assignments to match config/mvp_thresholds.json dish_types categories (Anna taxonomy).,Mismatches: Rice Bowl (deck:preference_drivers vs canonical:core_drivers); Fried Rice (deck:preference_drivers vs canonical:core_drivers); Quesadillas (deck:preference_drivers vs canonical:deprioritised)
B_SCORING,B,10,s10_dish_group_test_and_learn_dishes,classification,dish_group_test_and_learn.dishes,,,"Pastry Pie, Fish & Chips, Roast, Casserole, Mezze",See config/mvp_thresholds.json:dish_types.*,,config/mvp_thresholds.json:dish_types,UNVERIFIABLE,Confirm taxonomy mapping for non-canonical dishes (or add mapping) before using these groupings in deck.,"Not in canonical dish_types list: Pastry Pie, Fish & Chips, Roast, Casserole, Mezze"
B_SCORING,B,10,s10_dish_group_deprioritised_dishes,classification,dish_group_deprioritised.dishes,,,"Poke, Chilli, Tacos, Burritos, Nachos",See config/mvp_thresholds.json:dish_types.*,,config/mvp_thresholds.json:dish_types,MATCH,No change needed.,
B_SCORING,B,7,s07_dish_group_core_drivers_coverage_target,threshold,dish_group_core_drivers.coverage_target_percent,100.0,%,Core Drivers coverage target,,,N/A (no standard Cursor config for dish group coverage targets),UNVERIFIABLE,"If keeping these targets, add explicit justification + data linkage; otherwise remove or label as deck-specific targets.",Cursor has MVP zone criteria and dish taxonomy groupings; it does not define % coverage targets per dish-group as a canonical standard.
B_SCORING,B,7,s07_dish_group_demand_boosters_coverage_target,threshold,dish_group_demand_boosters.coverage_target_percent,75.0,%,Demand Boosters coverage target,,,N/A (no standard Cursor config for dish group coverage targets),UNVERIFIABLE,"If keeping these targets, add explicit justification + data linkage; otherwise remove or label as deck-specific targets.",Cursor has MVP zone criteria and dish taxonomy groupings; it does not define % coverage targets per dish-group as a canonical standard.
B_SCORING,B,7,s07_dish_group_preference_drivers_coverage_target,threshold,dish_group_preference_drivers.coverage_target_percent,50.0,%,Preference Drivers coverage target,,,N/A (no standard Cursor config for dish group coverage targets),UNVERIFIABLE,"If keeping these targets, add explicit justification + data linkage; otherwise remove or label as deck-specific targets.",Cursor has MVP zone criteria and dish taxonomy groupings; it does not define % coverage targets per dish-group as a canonical standard.
B_SCORING,B,10,s10_dish_group_core_drivers_coverage_target,threshold,dish_group_core_drivers.coverage_target_percent,100.0,%,Noodles group coverage target,,,N/A (no standard Cursor config for dish group coverage targets),UNVERIFIABLE,"If keeping these targets, add explicit justification + data linkage; otherwise remove or label as deck-specific targets.",Cursor has MVP zone criteria and dish taxonomy groupings; it does not define % coverage targets per dish-group as a canonical standard.
B_SCORING,B,10,s10_dish_group_demand_boosters_coverage_target,threshold,dish_group_demand_boosters.coverage_target_percent,75.0,%,Katsu group coverage target,,,N/A (no standard Cursor config for dish group coverage targets),UNVERIFIABLE,"If keeping these targets, add explicit justification + data linkage; otherwise remove or label as deck-specific targets.",Cursor has MVP zone criteria and dish taxonomy groupings; it does not define % coverage targets per dish-group as a canonical standard.
B_SCORING,B,10,s10_dish_group_preference_drivers_coverage_target,threshold,dish_group_preference_drivers.coverage_target_percent,50.0,%,Shepherd group coverage target,,,N/A (no standard Cursor config for dish group coverage targets),UNVERIFIABLE,"If keeping these targets, add explicit justification + data linkage; otherwise remove or label as deck-specific targets.",Cursor has MVP zone criteria and dish taxonomy groupings; it does not define % coverage targets per dish-group as a canonical standard.
B_SCORING,B,10,s10_dish_group_test_and_learn_coverage_target,threshold,dish_group_test_and_learn.coverage_target_percent,0.0,%,Pastry Pie group coverage target,,,N/A (no standard Cursor config for dish group coverage targets),UNVERIFIABLE,"If keeping these targets, add explicit justification + data linkage; otherwise remove or label as deck-specific targets.",Cursor has MVP zone criteria and dish taxonomy groupings; it does not define % coverage targets per dish-group as a canonical standard.
