,Zone X Dish Mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Italian,"Boiled Pasta (e.g. Bolognese, Tomato, Pesto, Cheese)",2.275,21.37,88%,1%,2.00,3.00,2.00,"Eaten regularly, shareable, customisable","Simple Toppings: Opt for plain toppings like cheese, pepperoni, or chicken. Avoid strong flavors like pesto or spicy toppings.","Soft Crust: Use a thin, soft crust that's easy for kids to bite into.",Mild Cheese: Stick to mild cheeses like mozzarella or cheddar.,Customizable: Allow kids to choose their own toppings to make it more appealing.,,,,,,89%,3.00,1.00,90%,6%,40%,0%,0%,10.00,2.00,2.00,1.00,1.00,5.00,2.275,2.59125,3.21,2.591,3.212
,Asian,Stir fry / Noodles,2.275,19.81,72%,5%,3.00,2.00,3.00,,Mild Fillings: Choose fillings that are soft and not too strong in flavor.,"Simple Sauces: Serve with a mild, smooth sauce like tomato or cheese.","Avoid Overcooking: Ensure the pasta is cooked just right, not too soft or too firm.",Plain Options: Offer plain pasta options for kids who prefer simplicity.,,,,,,77%,3.00,3.00,84%,9%,5%,14%,5%,10.00,2.00,2.00,5.00,2.00,4.00,2.275,3.24125,3.89,3.241,3.895
,British/Generalist,"Burger & Chips (e.g. Beef, Chicken, Veggie)",3.025,24.36,70%,8%,2.00,3.00,1.00,,Soft Texture: Ensure the gnocchi is soft and easy to chew.,"Mild Sauces: Serve with mild, creamy sauces like tomato or cheese.",Avoid Strong Flavors: Keep the dish simple and avoid strong spices.,Cheesy Options: Add cheese for a familiar and comforting flavor.,,,,,,78%,3.00,5.00,61%,29%,9%,15%,21%,7.00,5.00,2.00,5.00,6.00,6.00,3.025,4.35375,4.68,4.354,4.675
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,British/Generalist,Jacket potato,2.9,23.95,61%,10%,1.00,3.00,2.00,"Eaten regularly, Strongly wishlisted, high prep time, shareable",Mild Fillings: Use mild fillings and avoid strong herbs or spices.,Smooth Texture: Ensure the mash topping is creamy and smooth.,Hidden Vegetables: Incorporate finely grated or hidden vegetables for added nutrition.,,,,,,,71%,3.00,6.00,91%,7%,20%,0%,15%,10.00,2.00,2.00,1.00,4.00,5.00,2.9,3.635,3.75,3.635,3.752
,Tex Mex,"Chilli & Rice (e.g. Con Carne, 3-Bean)",3.275,30.43,57%,5%,3.00,3.00,3.00,"Very high prep time, sharebale",Soft Ingredients: Cook until ingredients are soft and easy to chew.,Mild Seasoning: Avoid strong spices and keep flavors simple.,Familiar Vegetables: Include vegetables that kids recognize and enjoy.,,,,,,,62%,3.00,3.00,83%,6%,19%,0%,0%,9.00,2.00,3.00,1.00,1.00,8.00,3.275,3.24125,3.59,3.241,3.595
,Asian,"Chicken (e.g. Sweet & Sour, Sweet Chilli)",2.65,25.47,68%,3%,3.00,3.00,3.00,"Eaten regularly, high prep time, shareable, customisable, health credentials","Familiar Vegetables: Use vegetables that kids are familiar with and enjoy, cut into small pieces.",Mild Flavors: Avoid strong spices and seasonings.,Presentation: Serve meat well-done and ensure vegetables are not overcooked.,,,,,,,71%,3.00,2.00,77%,8%,8%,0%,0%,9.00,2.00,2.00,1.00,1.00,6.00,2.65,2.7475,3.23,2.748,3.232
,Asian,Rice bowl / fried rice,2.525,22.08,55%,4%,2.00,3.00,3.00,"Strongly wishlisted, high prep time, shareable","Soft Pastry: Use a soft, flaky pastry that is easy to eat.",Mild Fillings: Keep fillings mild and avoid strong flavors.,"Manageable Portions: Cut pies into smaller, easy-to-hold portions.",,,,,,,59%,3.00,3.00,80%,9%,6%,35%,0%,9.00,2.00,2.00,10.00,1.00,5.00,2.525,3.62875,4.54,3.629,4.539
,British/Generalist,Fish & chips,2.525,19.31,63%,9%,2.00,2.00,1.00,"Eaten regularly, high prep time, shareable","Tender Meat: Ensure meat is well-cooked but not dry, and cut into smaller, bite-sized pieces.",Mild Seasoning: Avoid spicy or heavily seasoned meat.,Simple Sides: Offer thin chips and separate the meat from the sides for easy eating.,,,,,,,72%,3.00,5.00,27%,38%,17%,0%,25%,3.00,6.00,2.00,1.00,6.00,4.00,2.525,3.37875,3.33,3.379,3.326
,British/Generalist,Sausage & mash,2.9,24.53,67%,6%,1.00,2.00,2.00,High prep time,Simplified Ingredients: Use plain burger patties with no onions or strong spices. Opt for mild seasoning.,"Soft Buns: Choose soft, easy-to-bite buns.","Customizable Toppings: Offer simple toppings like cheese and ketchup, allowing kids to build their own burgers.",Portion Size: Use smaller patties and cut burgers into manageable pieces.,Side Options: Provide soft chips and a selection of kid-friendly condiments.,,,,,73%,3.00,4.00,84%,13%,16%,4%,8%,10.00,3.00,2.00,3.00,3.00,6.00,2.9,3.685,4.15,3.685,4.154
,Italian,"Baked Pasta (e.g. Chicken, Tuna, Tomato)",2.775,25.07,62%,5%,3.00,2.00,2.00,"High prep time, customisable, health credentials",Simple Toppings: Offer familiar toppings like cheese and beans.,Soft Texture: Ensure the potato is soft and easy to scoop out.,Customizable: Allow kids to choose their own toppings for personalization.,,,,,,,68%,3.00,3.00,86%,9%,24%,0%,5%,10.00,2.00,2.00,1.00,2.00,6.00,2.775,3.11625,3.54,3.116,3.538
,Italian,Lasagne,3.275,21.37,62%,16%,3.00,1.00,2.00,"Eaten regularly, shareable, customisable, health credentials",Plain Sausages: Opt for plain sausages without herbs or strong flavors.,Creamy Mash: Ensure the mash is smooth and lump-free.,Separate Components: Serve sausages and mash separately to allow kids to choose their preferred combination.,,,,,,,78%,3.00,9.00,73%,18%,38%,11%,0%,8.00,4.00,2.00,4.00,1.00,5.00,3.275,3.84125,4.02,3.841,4.025
,Tex Mex,Tacos / Enchiladas / Quesadillas,3.15,26.78,48%,11%,2.00,3.00,3.00,"Shareable, health credentials",Smooth Texture: Blend soups for a smoother texture if needed.,Mild Flavors: Avoid overly spicy or strong flavors.,Dipping Options: Serve with bread or crackers for dipping.,,,,,,,59%,3.00,6.00,80%,11%,40%,7%,0%,9.00,3.00,2.00,3.00,1.00,6.00,3.15,3.5225,3.87,3.523,3.871
,British/Generalist,"Meat & Chips (e.g. Steak, Chicken)",3.15,27.42,66%,7%,2.00,3.00,2.00,Eaten regularly,"Boneless Fish: Use boneless, lightly breaded fish for a crispy texture.",Mild Flavor: Choose mild-flavored fish like cod.,Simple Presentation: Serve with thin chips and avoid strong condiments.,,,,,,,73%,3.00,4.00,82%,12%,14%,11%,11%,9.00,3.00,3.00,4.00,4.00,7.00,3.15,4.0725,4.45,4.073,4.449
,British/Generalist,Cottage/Shepherd's/Fish Pie,4.4,34.30,49%,17%,3.00,2.00,2.00,Customisable,Simple Fillings: Use mild spreads and easy-to-eat fillings like cheese or ham.,Soft Bread: Choose soft bread to make it easier to bite and chew.,Customizable: Allow kids to select their preferred fillings and condiments.,,,,,,,67%,3.00,10.00,75%,19%,27%,7%,4%,9.00,4.00,3.00,3.00,2.00,9.00,4.4,4.76,4.76,4.760,4.758
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global,Cajun Chicken,2.725,26.39,33%,8%,2.00,2.00,2.00,"Strongly wishlisted, shareable, customisable",Mild Spices: Use mild spices and avoid overly spicy curries.,Creamy Texture: Opt for creamy curries with coconut milk for a mild flavor.,Soft Ingredients: Ensure all ingredients are soft and easy to chew.,Familiar Vegetables: Include vegetables that kids recognize and enjoy.,,,,,,41%,2.00,5.00,68%,17%,6%,13%,0%,8.00,3.00,2.00,5.00,1.00,6.00,2.725,3.45875,3.89,3.459,3.890
,Global,Piri-piri / Peri Peri,2.6,25.68,36%,7%,2.00,2.00,3.00,"Strongly wishlisted, high prep time","Mild Sauce: Use a mild, slightly sweet curry sauce.","Tender Chicken: Ensure chicken is boneless and tender, cut into small pieces.",Plain Rice: Serve with plain or lightly flavored rice.,Avoid Strong Spices: Keep the dish mild and avoid strong spices.,,,,,,43%,2.00,4.00,61%,14%,3%,21%,0%,7.00,3.00,2.00,7.00,1.00,6.00,2.6,3.44,4.00,3.440,4.002
,British/Generalist,Casserole / Stew,4.275,39.19,50%,12%,3.00,1.00,2.00,"Strongly wishlisted, shareable","Mild Sauce: Use a sweet, mild peanut sauce without spice.",Soft Noodles: Ensure noodles are soft and easy to chew.,Avoid Strong Flavors: Keep the dish simple and avoid strong spices.,Familiar Ingredients: Use familiar ingredients and avoid strong herbs.,,,,,,62%,3.00,7.00,89%,2%,24%,7%,0%,10.00,1.00,3.00,3.00,1.00,10.00,4.275,4.19125,4.34,4.191,4.342
,Italian,"Filled Pasta (e.g. Raviolli, Tortellini)",1.975,16.97,42%,9%,2.00,2.00,2.00,"Eaten regularly, shareable, customisable, health credentials","Mild Sweet Sauce: Use a mild, sweet sauce without too much tanginess.",Tender Chicken: Ensure chicken is boneless and easy to chew.,Avoid Strong Flavors: Keep the dish simple and avoid strong spices.,Familiar Ingredients: Use familiar ingredients and avoid strong herbs.,,,,,,51%,2.00,5.00,46%,47%,9%,23%,0%,5.00,8.00,1.00,7.00,1.00,3.00,1.975,3.34625,4.06,3.346,4.060
,British/Generalist,Soup,2.475,23.83,37%,9%,3.00,2.00,3.00,"Eaten regularly, customisable, health credentials",Mild Seasoning: Use mild seasoning and avoid strong spices.,Soft Rice: Ensure rice is well-cooked and not too dry.,Small Veggie Pieces: Include small pieces of vegetables that are easy to eat.,Simple Additions: Keep it simple with familiar ingredients like chicken or egg.,,,,,,46%,2.00,5.00,62%,31%,22%,0%,5%,7.00,5.00,2.00,1.00,3.00,5.00,2.475,3.32125,3.51,3.321,3.509
,British/Generalist,"Pastry Pie (e.g. Chicken, Steak, Beef, Veggie)",3.225,29.25,44%,12%,3.00,1.00,2.00,"Eaten regularly, shareable, health credentials","Mild Flavors: Use mild, sweet sauces like soy or teriyaki, avoiding spicy or strong flavors.",Soft Noodles: Ensure noodles are soft and easy to chew.,"Familiar Vegetables: Include small, familiar vegetables that kids enjoy, such as carrots or peas.",Avoid Strong Ingredients: Leave out strong flavors like bean sprouts or peppers.,,,,,,56%,2.00,7.00,39%,51%,31%,6%,10%,4.00,8.00,3.00,3.00,3.00,7.00,3.225,4.13375,4.22,4.134,4.224
,Asian,"Thai Curry (e.g. Red, Green, Massaman)",3.6,27.98,27%,19%,3.00,3.00,2.00,Customisable,"Mild Broth: Use a mild, not-too-salty broth.","Soft Toppings: Include soft, easy-to-chew toppings like chicken or egg.",Avoid Spicy Seasonings: Keep the dish mild and avoid strong spices.,"Simple Additions: Use simple, familiar ingredients to make it appealing.",,,,,,46%,2.00,10.00,61%,17%,14%,14%,1%,7.00,4.00,3.00,5.00,2.00,7.00,3.6,4.44,4.40,4.440,4.402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Global,Tagine,3.3,35.47,8%,10%,3.00,2.00,3.00,"Strongly wishlisted, high prep time, shareable, health credentials",Spice Level: Use mild spices and avoid making the dish too spicy.,"Texture and Ingredients: Use only meat and vegetables that kids like, avoiding complex flavors.",Customization: Serve with a side like couscous or rice to balance the flavors.,Preparation: Ensure the dish is well-cooked and flavorful without being too spicy.,,,,,,18%,1.00,6.00,63%,22%,30%,23%,0%,7.00,4.00,3.00,7.00,1.00,9.00,3.3,4.245,4.60,4.245,4.602
,Italian,Gnocchi,1.8,19.66,18%,7%,2.00,2.00,2.00,"Strongly wishlisted, high prep time, shareable, health credentials",Spice Level: Keep the dish mild and avoid too many spices.,"Texture and Ingredients: Use only meats and vegetables that kids like, avoiding seafood if necessary.",Customization: Serve with lots of rice and ensure the dish is not too complex in flavors.,Preparation: Some parents prefer to leave out certain ingredients like seafood or use a smaller portion size.,,,,,,25%,1.00,4.00,50%,36%,7%,14%,7%,5.00,6.00,2.00,5.00,3.00,4.00,1.8,3.32,3.71,3.320,3.706
,Global,Paella,3.3,32.33,19%,15%,3.00,2.00,3.00,High prep time,Spice Level: Use a milder seasoning blend to reduce spice levels.,"Texture and Ingredients: Ensure the chicken is boneless and tender, making it easier to chew.",Customization: Serve with rice or a mild side to balance the flavor.,Preparation: Make sure the chicken is moist and well-seasoned without being too spicy.,Serving Style: Some parents prefer to use smaller chunks of chicken for easier eating.,,,,,33%,1.00,8.00,73%,17%,25%,25%,0%,8.00,4.00,3.00,8.00,1.00,8.00,3.3,4.545,4.87,4.545,4.867
,Global,Stroganoff,3.05,31.61,12%,10%,3.00,2.00,2.00,"High prep time, shareable",Spice Level: Keep the sauce creamy and mild.,"Texture and Ingredients: Use soft, tender meat and avoid mushrooms if children dislike them.",Customization: Serve with a side like rice or pasta for balance.,Preparation: Ensure the dish is well-cooked and not too spicy.,,,,,,22%,1.00,6.00,73%,17%,15%,24%,0%,8.00,3.00,3.00,8.00,1.00,8.00,3.05,4.2075,4.63,4.208,4.625
,Asian,Ramen,2.175,21.96,21%,9%,2.00,3.00,2.00,"Eaten regularly, customisable","Spice Level: Use a smoky, mild seasoning to reduce spice levels.","Texture and Ingredients: Ensure the chicken is tender and easy to chew, often using chicken breast.",Customization: Serve with rice or a mild side to balance the flavor.,Preparation: Make sure the chicken is well-cooked and flavorful without being too spicy.,,,,,,30%,1.00,5.00,61%,17%,11%,28%,8%,7.00,3.00,2.00,9.00,3.00,5.00,2.175,3.87625,4.35,3.876,4.346
,Italian,Risotto,3.6,30.29,23%,15%,3.00,2.00,2.00,"Eaten regularly, health credentials","Spice Level: Reduce the heat to a mild, tangy flavor to make it more kid-friendly.","Texture and Ingredients: Use boneless, tender chicken pieces to make it easier for children to eat.",Customization: Serve with a mild sauce or dip to balance the flavors.,Preparation: Ensure the chicken is moist and well-seasoned without being too spicy.,"Serving Style: Some parents make peri-peri chicken burgers, which can be more appealing to kids.",,,,,38%,2.00,8.00,82%,9%,20%,16%,2%,9.00,2.00,3.00,6.00,2.00,8.00,3.6,4.44,4.60,4.440,4.602
,Global,Jerk Chicken,3.3,34.46,20%,9%,2.00,2.00,2.00,Health credentials,Spice Level: Keep the dish plain and avoid too many spices.,Texture and Ingredients: Avoid too many vegetables or complex flavors.,Customization: Serve as a side dish or with a mild sauce.,Preparation: Ensure the couscous is not sticky and is well-cooked.,,,,,,29%,1.00,6.00,59%,14%,5%,18%,0%,7.00,3.00,3.00,6.00,1.00,9.00,3.3,4.045,4.29,4.045,4.292
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indian,Sandwich / Toastie,1.1,11.97,44%,3%,1.00,3.00,1.00,"Eaten regularly, high prep time, shareable, customisable, health credentials",Mild Spices: Use mild spices and avoid overly spicy curries.,Creamy Curries: Opt for creamy curries like korma or butter chicken.,Simple Rice: Serve with plain rice to balance the flavors.,Familiar Ingredients: Use familiar ingredients and avoid strong herbs or spices.,,,,,,47%,2.00,2.00,88%,7%,8%,8%,33%,10.00,2.00,1.00,4.00,8.00,1.00,1.1,3.365,3.80,3.365,3.798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Asian,Thai Noodles (e.g. Pad Thai),2.725,23.02,26%,13%,3.00,2.00,2.00,"Eaten regularly, high prep time, shareable, customisable",Spice Level: Make a mild version with less spice; avoid hot chili powders.,"Beans and Vegetables: Use more beans than spice, and ensure vegetables are soft.",Texture: Serve with rice to balance the flavor and make it more appealing.,Customization: Some parents add extra beans for additional iron or use veggie mince for dietary preferences.,Toppings: Include sour cream or natural yogurt to cool down the dish.,Portion Size: Offer smaller portions to suit children's appetites.,,,,39%,2.00,7.00,53%,16%,8%,21%,0%,6.00,3.00,2.00,7.00,1.00,5.00,2.725,3.55875,3.85,3.559,3.845
,Global,Cous Cous,1.55,16.80,24%,7%,2.00,2.00,3.00,"Eaten regularly, strongly wishlisted, customisable",Spice Level: Keep the dish mild with no spice or very mild spices.,Texture and Ingredients: Use soft tacos and avoid hard shells; ensure fillings are not too spicy.,"Customization: Allow children to build their own tacos or enchiladas, choosing their favorite toppings.",Cheese and Toppings: Include lots of cheese and creamy sauces like sour cream or guacamole.,Separate Components: Some parents separate ingredients like peppers and onions for children to choose.,Meat Preparation: Ensure meat is chopped up and never on the bone; it should be flavorful but not spicy.,,,,31%,1.00,4.00,82%,12%,4%,7%,0%,9.00,3.00,1.00,3.00,1.00,3.00,1.55,2.6825,3.15,2.683,3.149
,Asian,Katsu Curry,2.85,26.88,27%,11%,2.00,2.00,2.00,Eaten regularly,Spice Level: Ensure the dish is not too spicy; use mild spices or none at all.,Texture and Ingredients: Use soft tortillas for easy chewing and avoid strong onions or peppers unless cooked until soft.,"Customization: Allow children to build their own burritos, choosing their favorite fillings.",Cheese and Toppings: Include plenty of cheese and mild toppings like sour cream or guacamole.,"Separate Components: Some parents separate the bread, chicken, and salad, as children may not eat it all wrapped up.",Meat Preparation: Ensure the chicken or beef is not dry and is nicely seasoned without being spicy.,,,,38%,2.00,6.00,58%,19%,20%,13%,0%,6.00,4.00,2.00,5.00,1.00,6.00,2.85,3.4775,3.78,3.478,3.779
