Respondent ID,Panel ID,"When was the last time you ordered food for delivery from any service (e.g, Deliveroo, Uber Eats, Just Eat)?",Which of the following food delivery apps have you used in the past 12 months? - Deliveroo,Which of the following food delivery apps have you used in the past 12 months? - Just Eat,Which of the following food delivery apps have you used in the past 12 months? - Uber Eats,Which of the following food delivery apps have you used in the past 12 months? - None of these,"Thinking about food delivery services, what new offers, deals, or initiatives, if any, come to mind? If none come to mind, please write N/A below.","And which company or app were those from? If N/A, please write this below.","Have you seen or heard about something called ""Family Dinneroo"" from Deliveroo?",Where have you seen or heard about it? Please select all that apply. - In the Deliveroo app,Where have you seen or heard about it? Please select all that apply. - In an email or notification from Deliveroo,"Where have you seen or heard about it? Please select all that apply. - Social media (e.g., Instagram, TikTok, Facebook)","Where have you seen or heard about it? Please select all that apply. - Online ads (e.g., banners, search results)",Where have you seen or heard about it? Please select all that apply. - On YouTube or while watching videos online,Where have you seen or heard about it? Please select all that apply. - In a Podcast or while listening to music,Where have you seen or heard about it? Please select all that apply. - TV or radio,"Where have you seen or heard about it? Please select all that apply. - Outdoor ads (billboards, bus stops, etc.)","Where have you seen or heard about it? Please select all that apply. - Friends, family, or word-of-mouth",Where have you seen or heard about it? Please select all that apply. - Don't recall,Where have you seen or heard about it? Please select all that apply. - Other,What message or idea do you most remember about Family Dinneroo?,"In your own words, what do you think “Family Dinneroo” is?","Based on what you’ve seen or heard about it so far, how appealing does Family Dinneroo sound to you?","Based on this, how appealing does Family Dinneroo look to you?","In your own words, what do you think this offer is about?",Do you think Family Dinneroo is…,"Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Price / value for money","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Portion size","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Balanced or healthy options","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Choice of restaurants","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Speed or convenience","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Ability to customise meals","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Family-friendly options (something for everyone)","Thinking about weekday family meals like Family Dinneroo, which of the following are most important to you? Please selct up to 3.  - Other","What, if anything, would make this more appealing to you?",Which of the following best describes your experience with Family Dinneroo?,"Now that you know what Family Dinneroo is, how likely are you to consider ordering it in the near future?",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think the meals will be nutritious/balanced enough for weekdays,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t think we’ll get enough food for the price,"What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - My family have very specific needs (likes, dislikes, dietary needs)",What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - We don't eat between 4:30pm and 6:30pm,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Our window for dinner is tight / I don’t want to risk it being late,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I don’t want the food to arrive cold,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - I won’t have time to browse and order,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - It will probably be more than £25,What’s the main reason you’re unlikely to order Family Dinneroo? Please select up to 3.  - Other,"If Deliveroo had this offering in the app tomorrow, how likely are you to click in and browse available restaurants?",Age,Gender,UK Region MD,U 16 HH
0f2a444d-3ac3-4423-a746-d9bbe52bbec4yffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,N/A,Local resturant,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,Getting food delivered at off peak times,Fair value,No,No,No,Yes,Yes,Yes,No,No,Later hours,,Somewhat unlikely,No,Yes,No,Yes,No,No,No,No,No,Unlikely,55,Male,South England Wales,Other HH
c3989170-a756-48c4-ae84-181bf3eeef4fyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Monthly subscription for delivery ,Uber eats,"Yes, definitely",No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Free delivery to all members ,Is a food delivery service for fast foods,Very appealing,Very appealing,Ita for a promotion from family domina for food delivery for families at less price ,Good value,Yes,No,Yes,No,No,No,Yes,No,If they include drinks and snacks on there program ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,25 34,Male,Greater London,U 16 In HH
6eda1fa2-15fe-4b53-884b-1a361b8e37b3yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Food for a family of 4 for £25,Excellent value,Yes,Yes,No,No,No,No,Yes,No,Thete are only 2no adults in our household. How does this offers supply yo US.,,Very likely,,,,,,,,,,Might do if convenient,55,Male,South England Wales,Other HH
e0992792-58ef-4e1f-962d-a9955501cde9yffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,n/a,n/a,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,A special offer of a meal for a family for under £25,Good value,Yes,No,Yes,No,No,Yes,No,No,More gluten free options,,Very unlikely,No,No,Yes,Yes,No,No,No,Yes,No,Unlikely,55,Male,Core London,Other HH
74e7c95e-aba4-410e-9a5e-c0ba55d6a767yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,Uber eats 50 per cent off ,Uber eats,Maybe / not sure,Yes,No,Yes,No,No,No,No,No,No,No,No,Just that family meal for special offer ,Diner for a family,Very appealing,Very appealing,Great offer to feed for.ily fir 25 pounds or under ,Excellent value,Yes,No,Yes,No,No,Yes,No,No,Maybe if it was available at the weekend ,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,45 54,Female,Scotland,U 16 In HH
299e6e9c-0d46-497f-9153-71e52caca791yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Na,Na,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,A family deal,Good value,Yes,Yes,No,No,No,Yes,No,No,Lower prices ,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,Core London,U 16 In HH
e040bbae-5bda-40dd-96ae-cdd78798362dyffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,Free delivery ,Deliveroo,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Discount ,Excellent value,Yes,No,Yes,No,No,No,Yes,No,It is already appealing ,,Very likely,,,,,,,,,,Might do if convenient,25 34,Male,Core London,U 16 In HH
cffdb0f0-1740-4d55-a2d0-703a14b712fbyffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Just eat ,Just eat ,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Offer is value for money ,Excellent value,Yes,Yes,Yes,No,No,No,No,No,Create more awareness about quality of product ,,Very likely,,,,,,,,,,Definitely would,55,Male,Core London,U 16 In HH
c84fcd58-df92-48a7-bc3d-4896c5048929yffknfw,4pzacubs3vg,4-12 months ago,No,Yes,Yes,No,N/a,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Feeding families for less,Fair value,Yes,No,No,Yes,No,No,Yes,No,More variety available ,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,North England,U 16 In HH
52930899-b4e6-468c-b928-b48b95bdcdc0yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,N/a,Justeat,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Dinner for a family,Fair value,Yes,No,No,Yes,Yes,No,No,No,More varity,,Somewhat likely,,,,,,,,,,Might do if convenient,45 54,Female,South England Wales,Other HH
327f2586-2e56-4e34-8477-3bdb8639d295yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,Uber eats,Microsoft ,"Yes, definitely",No,No,No,No,Yes,Yes,No,Yes,No,No,No,A lot in life matters when you’re alive ,It is a veery good app useful to man,Very appealing,Very appealing,It is a very economic add,Excellent value,Yes,No,No,Yes,No,No,Yes,No,The choice of. Olot combination ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Male,Core London,U 16 In HH
f6ebf2c2-18d4-4981-8b42-dffe9a3eb063yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,Uber Eats with the subscription ,Uber Eats,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,A dear for more than 1 meal at a set price,Good value,Yes,No,No,No,Yes,Yes,No,No,I already find it appealing enough.,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Male,North England,Other HH
f694c4ee-66da-4a0a-b900-2f4940eaaa11yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,N/A,N/A,"Yes, definitely",No,No,No,Yes,Yes,Yes,No,No,No,No,No,family times,a delivery company ,Somewhat appealing,Somewhat appealing,affordable meals ,Good value,Yes,No,Yes,Yes,No,No,No,No,cheaper offer,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Male,North England,U 16 In HH
917f15ae-d551-4c71-b240-5d17ab2669acyffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,N/A,Don’t know ,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,For the family ,Fair value,No,No,Yes,No,No,Yes,Yes,No,No idea ,,Neither likely nor unlikely,,,,,,,,,,Unlikely,55,Female,Core London,Other HH
6e3ca32c-6359-4bc2-a5cd-3036f2d8b624yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,Just eat,Just eat,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Looks family orientated ,Good value,Yes,Yes,No,No,No,No,Yes,No,Cheaper,,Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Male,South England Wales,U 16 In HH
c7cff216-8c90-490f-8b7f-b08575db1eeayffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,N/A,N/A,"Yes, definitely",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Food,Family discount sales,Very appealing,Very appealing,Family food time offers ,Good value,No,No,Yes,Yes,Yes,No,No,No,Good restaurant with quality food,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,35 44,Female,Core London,U 16 In HH
f0df35f0-4447-47df-bb0e-23954c35a686yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,Burger ,Eat me,"Yes, definitely",Yes,No,No,No,No,No,No,No,No,No,No,So yummy ,Restaurant were good are so delicious ,Very appealing,Very appealing,Very interested ,Excellent value,Yes,No,Yes,No,No,No,No,No,Delicious ,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Might do if convenient,35 44,Male,Core London,U 16 In HH
650bbdd7-0ad5-4979-907e-ee4d1cd709bfyffknfw,4pzacubs3vg,1-3 months ago,No,Yes,No,No,discounts on orders after a certain number of orders,Just Eat,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,getting a family meal for less that £25 when ordering between Monday and Thursday between certain times,Good value,Yes,No,No,Yes,No,No,Yes,No,If it wasn't just for families and they had options for couples and single people,,Somewhat unlikely,Yes,No,No,No,No,No,No,No,No,Unlikely,55,Female,North England,Other HH
4c76c6ba-5433-4305-aab3-584caadfdc84yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,NA,Deliveroo,"Yes, definitely",No,No,No,No,No,No,Yes,No,No,No,No,Delivery for dinner time for family ,Family dinner ,Somewhat appealing,Very appealing,Very good ,Excellent value,Yes,Yes,Yes,No,No,No,No,No,Happy family ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Definitely would,45 54,Female,Core London,Other HH
31cab7ad-4b98-4b43-a678-71543b7bf377yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,N/A,N/A,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,This offer is about a bargaain family food offer,Good value,Yes,Yes,No,No,No,Yes,No,No,More variety of food,,Somewhat unlikely,No,No,No,No,Yes,Yes,No,Yes,No,Unlikely,55,Male,South England Wales,Other HH
d87171bf-cbe0-41f2-ab7c-08e3f5557f37yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,Money off and delivery charge discounts ,Uber eats ,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Offers on midweek takeaways ,Good value,Yes,No,No,No,No,Yes,No,No,Nothing ,,Very likely,,,,,,,,,,Definitely would,35 44,Female,South England Wales,Other HH
9b04472e-feca-445b-8eed-3f6c0a4e2dcayffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,N/A,"Yes, definitely",No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Quick and easy to use ,Delivery app,Somewhat appealing,Very appealing,Discount ,Excellent value,No,No,Yes,No,Yes,No,Yes,No,It's ok like this,"I've heard of it, but I haven't decided if I'll try it",Very likely,,,,,,,,,,Definitely would,25 34,Male,South England Wales,U 16 In HH
94232127-f3f2-41b5-ad03-443139a86a5fyffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,N/a,N/a,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Delivery of food for the whole family ,Not sure,Yes,Yes,No,No,No,No,Yes,No,Being able to know more about it ,,Neither likely nor unlikely,,,,,,,,,,Might do if convenient,45 54,Male,North England,U 16 In HH
10b92c98-a65a-4dbe-ab16-b5b3099e2180yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,"Percentage discounts, free starter, free sides",Uber eats,"Yes, definitely",No,No,Yes,No,No,No,Yes,No,Yes,No,No,Feed 4 people for £25,Dinner for four people,Very appealing,Very appealing,Feed the family for less than £25,Excellent value,Yes,No,No,Yes,No,No,Yes,No,To know which restaurants are included,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,55,Male,Core London,Other HH
7733687a-09ac-42f7-b51d-05cdcdb8e397yffknfw,4pzacubs3vg,In the past month,No,Yes,No,No,N/a,N/a,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,Dale on food for multi bundle,Good value,No,Yes,No,Yes,Yes,No,No,No,Maybe another colour ,,Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,South England Wales,U 16 In HH
fd7ff85f-337f-4f2d-91a0-ba0b9e97fcdfyffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,£10 off ,Just eat,"Yes, definitely",No,No,No,No,No,No,Yes,No,No,No,No,The fletcher family. Costs £20 ,Meal for a family ,Somewhat appealing,Somewhat appealing,Feed the whole family for )25 ,Good value,Yes,No,No,Yes,No,Yes,No,No,Nothing ,"I haven't ordered it, but I plan to try it",Somewhat likely,,,,,,,,,,Might do if convenient,35 44,Female,North England,U 16 In HH
7c87f87e-fcf8-4f68-bbf8-6709b8dfe551yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,home delivery,ubber eats,Maybe / not sure,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,family size orders,food order to fit family size,Very appealing,Very appealing,A very good deal,Excellent value,Yes,No,No,No,No,Yes,Yes,No,it very appealing and good options,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,45 54,Male,South England Wales,U 16 In HH
25ca47c9-7a4e-4c9d-bec7-c8e1eb9bf3a0yffknfw,4pzacubs3vg,In the past month,Yes,No,No,No,50% fruit and veg at waitrose,Uber,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Having a set price of 25 for a takeaway,Excellent value,Yes,No,No,Yes,No,No,Yes,No,Those are the main ones so no,,Very likely,,,,,,,,,,Might do if convenient,45 54,Female,South England Wales,Other HH
afe0a604-f24c-4f28-b700-38382c7b8ea2yffknfw,4pzacubs3vg,4-12 months ago,No,Yes,No,No,None ,N/A,"No, I haven’t",,,,,,,,,,,,,,,Not very appealing,Feeding the family for a fixed cost ,Fair value,Yes,No,No,No,Yes,Yes,No,No,Healthy options ,,Somewhat unlikely,No,No,Yes,Yes,No,No,Yes,No,No,Unlikely,45 54,Female,South England Wales,Other HH
a066b943-1f11-43b4-8b0f-2e80469f8b6byffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,n/a,n/a,Maybe / not sure,No,No,No,No,No,No,No,No,No,Yes,No,n/a,family treat,Somewhat appealing,Somewhat appealing,meal deal,Good value,No,No,No,No,No,Yes,Yes,No,color,I’ve already ordered using Family Dinneroo,Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,Core London,Other HH
5de9c9d6-e387-4258-a5db-3f2f742f7732yffknfw,4pzacubs3vg,4-12 months ago,Yes,No,No,No,Not sure,Na,Maybe / not sure,No,Yes,No,No,No,No,No,No,Yes,No,No,That it’s good for rvryone,Meals for the family,Somewhat appealing,Not very appealing,Fred the family afforable,Good value,No,No,Yes,Yes,Yes,No,No,No,Nothing,"I haven't ordered it, but I plan to try it",Neither likely nor unlikely,,,,,,,,,,Might do if convenient,35 44,Female,South England Wales,U 16 In HH
287bb962-43dc-44a6-9070-f2f62ad00915yffknfw,4pzacubs3vg,In the past month,No,Yes,Yes,No,just eat tuesday 20%; uber eats 25% off,just eat and uver eats,"No, I haven’t",,,,,,,,,,,,,,,Very appealing,feeding the family for less,Excellent value,Yes,No,No,Yes,No,No,Yes,No,if there was a popular choice of restuarant,,Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Male,Core London,Other HH
0acfc34f-7a59-4c86-8440-3a24e204dc70yffknfw,4pzacubs3vg,In the past month,Yes,No,Yes,No,Money off,Deliveroo,"Yes, definitely",Yes,No,No,No,Yes,No,No,No,No,No,No,The deals,Family meal deals,Very appealing,Very appealing,Really good,Excellent value,Yes,No,No,No,No,Yes,No,No,A little cheaper,"I haven't ordered it, but I plan to try it",Very likely,,,,,,,,,,Definitely would,35 44,Male,North England,Other HH
68e87a75-42f2-42e7-9d8b-eea5cd992968yffknfw,4pzacubs3vg,In the past month,No,No,Yes,No,Loyalty points,Uber eats,"No, I haven’t",,,,,,,,,,,,,,,Somewhat appealing,Family friendly,Good value,No,No,Yes,No,Yes,No,Yes,No,It is okay,,Somewhat likely,,,,,,,,,,Might do if convenient,25 34,Female,North England,U 16 In HH
125c25f7-6349-4628-91dc-1ee5a5d85a15yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,buy 1 get one free,"uber eats,deliveroo","Yes, definitely",No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,shareable meals up to £25,aims to take the stress out of the mind,Very appealing,Very appealing,you get free food 25£ more food to feed the family when it reaches 25£ that a great idea for people who order big food,Excellent value,No,No,Yes,Yes,Yes,No,No,No,you buy more food for less price,I’ve already ordered using Family Dinneroo,Very likely,,,,,,,,,,Definitely would,25 34,Female,Core London,Other HH
e9d59302-ed71-4ba7-9014-81fca8d53851yffknfw,4pzacubs3vg,In the past month,Yes,Yes,No,No,N/A,N/A,Maybe / not sure,No,No,No,No,No,No,Yes,No,No,No,No,I think it was the family from mc fly getting tea delivered ,An offer enough for a whole family ,Somewhat appealing,Somewhat appealing,Feeding the family for £25,Good value,No,Yes,Yes,No,No,No,No,No,Nothing I like it ,"I've heard of it, but I haven't decided if I'll try it",Neither likely nor unlikely,,,,,,,,,,Might do if convenient,25 34,Male,South England Wales,Other HH
89e496ff-d5b9-4d2b-9029-5fb3e05700e4yffknfw,4pzacubs3vg,In the past month,Yes,Yes,Yes,No,N/A,N/A,"Yes, definitely",No,No,Yes,No,Yes,No,Yes,No,No,No,No,It shows the trustworthiness of the company,Food Delivery,Somewhat appealing,Somewhat appealing,"I liked the graphics, it is very appealing",Good value,Yes,No,No,No,Yes,No,No,No,Add more description to it,"I haven't ordered it, but I plan to try it",Neither likely nor unlikely,,,,,,,,,,Might do if convenient,25 34,Male,Core London,Other HH
