# SLIDES DATA - Aligned with Master Dish List v5.1
# Generated: 2026-01-07
# Use this data to populate presentation slides
#
sheet_name,metric,value,notes
# SLIDE 9: PERFORMANCE METRICS BY DISH (for detailed tables)
# avg_sales_per_dish | pct_zones_top_5 | deliveroo_rating | meal_satisfaction | repeat_intent
# ─────────────────────────────────────────────────────────────────────
PERFORMANCE,Pho,136|100%|4.6|92%|89%,#1 by all metrics
PERFORMANCE,Indian Curry,98|64%|4.7|93%|85%,#2 - highest rating
PERFORMANCE,Biryani,86|54%|4.6|91%|83%,#3 - strong performer
PERFORMANCE,Protein & Veg,44|44%|4.4|71%|,#4 - volume but lower satisfaction
PERFORMANCE,Sushi,32|56%|4.7|93%|81%,#5 - premium segment
PERFORMANCE,Rice Bowl,29|41%|4.4|84%|77%,Consistent performer
PERFORMANCE,Katsu,29|41%|4.3|87%|85%,Family favourite
PERFORMANCE,Noodles,28|37%|4.5|88%|88%,High repeat intent
PERFORMANCE,Grain Bowl,21|18%|4.7|86%|90%,Highest repeat intent
PERFORMANCE,East Asian Curry,18|31%|4.4|87%|84%,Solid performer
PERFORMANCE,Lasagne,13|22%|4.6|77%|75%,Niche appeal
PERFORMANCE,Pizza,11|49%|4.1|81%|75%,Volume driver
PERFORMANCE,Shepherd's Pie,11|8%|4.3|91%|100%,100% repeat intent
PERFORMANCE,Shawarma,10|10%|4.5|90%|86%,Underserved
PERFORMANCE,Fajitas,9|12%|4.2|96%|100%,Highest satisfaction + repeat
PERFORMANCE,Pasta,8|25%|4.2|78%|74%,Oversupplied
# ─────────────────────────────────────────────────────────────────────
# SLIDE 10: KEY INSIGHTS SUMMARY
# ─────────────────────────────────────────────────────────────────────
INSIGHTS,Top Performer,Pho,136 avg sales - 4x the next best
INSIGHTS,Highest Rating,Indian Curry + Sushi,4.7 stars
INSIGHTS,Highest Satisfaction,Fajitas,96% liked/loved
INSIGHTS,Highest Repeat Intent,Fajitas + Shepherd's Pie,100% would order again
INSIGHTS,Biggest Gap Opportunity,Protein & Veg,93% coverage gap + demand booster
INSIGHTS,British Expansion,4 prospects,Casserole/Roast/Pastry Pie/Sausage & Mash
INSIGHTS,Oversupplied,Pasta,23 dishes but only 0.6 demand strength
