ZONE_NAME,orders,partners,cuisines,REGION,avg_rating,rating_count,meets_cuisine,meets_partners,meets_rating,mvp_criteria_met,is_mvp
Finsbury Park / Harringay / Crouch End,1534,4,3,London,4.528,250.0,False,False,True,1,False
Fulham,615,5,5,London,4.574257425742574,101.0,True,True,True,3,True
Glasgow Centre,542,5,5,Scotland,4.5476190476190474,84.0,True,True,True,3,True
Golders Green / Brent Cross,275,3,1,London,4.0,48.0,False,False,True,1,False
Guildford,969,6,6,South East,4.247787610619469,113.0,True,True,True,3,True
Hammersmith / Shepherd's Bush,962,7,6,London,4.456647398843931,173.0,True,True,True,3,True
Hampstead,797,5,4,Other,4.472,125.0,False,True,True,2,False
Harrow,126,4,3,London,4.333333333333333,15.0,False,False,True,1,False
Hatfield/ Hatfield Park,160,3,2,Other,4.388888888888889,18.0,False,False,True,1,False
Henley on Thames,181,3,2,Other,4.277777777777778,18.0,False,False,True,1,False
"Highgate, Muswell Hill, East Finchley",168,3,3,Other,4.416666666666667,24.0,False,False,True,1,False
Horsham,416,4,4,Other,4.409090909090909,66.0,False,False,True,1,False
Islington,2262,8,8,London,4.68956043956044,364.0,True,True,True,3,True
Kingston,1156,8,7,London,4.461538461538462,169.0,True,True,True,3,True
Leeds City Centre,470,9,7,North,4.521739130434782,69.0,True,True,True,3,True
Lewisham,1358,5,5,London,4.495575221238938,226.0,True,True,True,3,True
Liverpool City Centre,307,5,4,North,4.2926829268292686,41.0,False,True,True,2,False
London Bridge,850,10,7,London,4.572519083969466,131.0,True,True,True,3,True
Manchester Central,156,3,3,London,4.363636363636363,22.0,False,False,True,1,False
Mayfair,772,8,6,London,4.568345323741007,139.0,True,True,True,3,True
Milton Keynes,1332,8,7,South East,4.4581005586592175,179.0,True,True,True,3,True
Newbury,148,3,3,Other,4.478260869565218,23.0,False,False,True,1,False
Newton Longville,181,5,3,Other,4.045454545454546,22.0,False,True,True,2,False
Norwich,1050,6,5,South East,4.248322147651007,149.0,True,True,True,3,True
Notting Hill / Paddington,1226,9,7,London,4.525114155251141,219.0,True,True,True,3,True
Nottingham,759,7,5,London,4.4324324324324325,148.0,True,True,True,3,True
Oxford,1501,7,5,South East,4.515723270440252,159.0,True,True,True,3,True
Putney & Barnes,296,3,3,London,4.702127659574468,47.0,False,False,True,1,False
Reading,1318,10,6,South East,4.293103448275862,174.0,True,True,True,3,True
Reigate,541,6,5,South East,4.506666666666667,75.0,True,True,True,3,True
Richmond / Kew,562,6,6,London,4.3023255813953485,86.0,True,True,True,3,True
Romford,434,3,3,Other,4.43859649122807,57.0,False,False,True,1,False
Royal Leamington Spa,257,4,4,Other,4.366666666666666,30.0,False,False,True,1,False
Royal Tunbridge Wells,426,6,6,South East,4.4363636363636365,55.0,True,True,True,3,True
Salford,535,6,4,Other,4.257425742574258,101.0,False,True,True,2,False
Sheffield City Centre,442,4,3,North,4.267605633802817,71.0,False,False,True,1,False
South Kensington,676,7,4,London,4.556701030927835,97.0,False,True,True,2,False
Southampton,470,5,4,South East,4.288888888888889,90.0,False,True,True,2,False
Southsea,435,7,5,Other,4.180327868852459,61.0,True,True,True,3,True
St Albans,559,4,4,South East,4.22680412371134,97.0,False,False,True,1,False
Stevenage,369,3,3,Other,4.523076923076923,65.0,False,False,True,1,False
Stratford,665,5,4,London,4.262626262626263,99.0,False,True,True,2,False
Surrey Quays,1139,4,3,Other,4.606217616580311,193.0,False,False,True,1,False
Sutton,101,3,2,London,4.125,8.0,False,False,True,1,False
Uxbridge,242,4,3,Other,4.404761904761905,42.0,False,False,True,1,False
"Victoria, Westminster, Pimlico",506,8,5,London,4.633333333333334,60.0,True,True,True,3,True
Walton on Thames,275,3,3,Other,4.472222222222222,36.0,False,False,True,1,False
Wandsworth,853,3,3,London,4.691275167785235,149.0,False,False,True,1,False
Wapping and Mile End,961,4,4,Other,4.662068965517242,145.0,False,False,True,1,False
Watford,372,4,4,South East,4.357142857142857,56.0,False,False,True,1,False
Wembley,1202,7,7,Other,4.489795918367347,196.0,True,True,True,3,True
West Bridgford,239,3,3,Other,4.291666666666667,48.0,False,False,True,1,False
West Central,793,10,7,London,4.563025210084033,119.0,True,True,True,3,True
Wimbledon,1314,8,7,London,4.5,214.0,True,True,True,3,True
Winchester,126,3,3,North,4.0,16.0,False,False,True,1,False
Windsor,517,6,4,South East,4.298701298701299,77.0,False,True,True,2,False
York,729,8,6,North,4.456310679611651,103.0,True,True,True,3,True
